#         t          x          y          z         vx         vy         vz
      0.707     17.580    158.500    -24.610     39.350    195.230      4.150
      0.714     21.040    171.630    -23.290     55.180    172.520     36.180
      0.721     25.360    182.920    -19.810     66.210    145.860     62.150
      0.729     30.440    192.390    -14.370     77.240    119.970     85.980
      0.736     36.310    199.920     -7.570     85.840     91.230    104.280
      0.743     42.790    205.430      0.440     93.250     64.460    121.330
      0.750     49.630    208.980      9.610     99.230     32.720    134.490
      0.757     56.840    210.230     19.540    103.340      2.690    144.630
      0.764     64.210    209.300     30.190    103.230    -29.880    153.580
      0.771     71.550    206.010     41.520    102.660    -64.650    161.590
      0.779     78.930    200.180     53.200    104.930   -101.470    162.890
      0.786     86.310    191.590     64.780    102.300   -140.140    161.730
      0.793     93.590    179.890     76.160     96.010   -186.160    156.800
      0.800    100.260    165.030     86.960     89.770   -231.280    142.980
      0.807    106.060    146.550     96.330     72.860   -283.660    115.400
      0.814    110.330    124.710    103.050     45.610   -328.100     67.990
      0.821    112.360    100.320    105.400     10.080   -353.010     -5.300
      0.829    111.460     75.550    101.970    -36.090   -327.950    -88.920
      0.836    107.520     54.270     93.220    -72.350   -263.540   -149.310
      0.843    101.790     38.170     81.370    -84.440   -187.380   -178.410
      0.850     95.660     27.480     68.350    -86.700   -115.440   -181.270
      0.857     89.530     21.590     55.620    -80.690    -51.920   -172.460
      0.864     84.120     19.660     43.930    -74.500     -4.730   -153.280
      0.871     79.270     20.870     33.940    -57.380     37.470   -126.280
      0.879     75.720     24.800     26.080    -40.820     70.340    -96.870
      0.886     73.560     30.740     20.200    -23.130     95.220    -65.140
      0.893     72.750     38.320     16.800     -1.150    116.070    -29.990
      0.900     73.180     47.170     15.730     16.790    131.780      3.560
      0.907     75.130     56.930     17.270     37.540    140.550     40.930
      0.914     78.630     67.180     21.680     61.270    143.800     83.840
      0.921     83.790     77.370     29.290     85.330    140.510    127.820
      0.929     91.020     87.010     40.110    116.260    128.080    175.520
      0.936    100.630     95.160     54.610    149.480     97.490    229.620
      0.943    112.550    100.220     72.820    179.840     37.900    281.280
      0.950    126.630     99.850     94.140    208.750    -55.670    310.120
      0.957    141.770     91.620    115.840    204.910   -173.210    287.180
      0.964    155.280     76.140    133.660    166.220   -245.890    206.270
      0.971    165.490     57.860    145.490    119.560   -259.320    125.370
      0.979    172.300     39.870    151.950     75.860   -242.260     59.910
      0.986    176.620     23.670    154.510     44.240   -211.870     11.670
      0.993    178.620      9.740    153.940     14.090   -178.980    -25.460
      1.000    178.950     -1.630    150.940     -7.680   -141.010    -58.210
      1.007    177.700    -10.170    145.800    -30.150    -99.490    -84.800
      1.014    174.820    -15.610    139.150    -47.350    -54.120   -103.660
      1.021    170.910    -17.680    131.170    -62.370     -1.900   -119.520
      1.029    165.890    -15.830    122.450    -74.710     53.800   -123.990
      1.036    160.110     -9.750    113.520    -85.400    119.270   -124.260
      1.043    154.070      1.480    105.240    -83.160    195.100   -103.630
      1.050    148.780     18.230     99.550    -60.350    274.350    -50.730
      1.057    146.400     39.960     99.140     -1.810    317.700     42.990
      1.064    148.830     61.550    105.680     67.460    274.290    135.340
      1.071    155.400     78.250    117.260    112.270    192.660    180.020
      1.079    164.450     89.050    130.730    135.370    108.490    192.790
      1.086    174.390     94.230    144.300    141.750     36.830    186.160
      1.093    184.520     94.740    157.050    137.510    -22.460    169.990
      1.100    194.160     91.000    168.340    131.820    -78.580    144.640
      1.107    203.000     83.670    177.590    117.560   -124.560    113.740
      1.114    210.650     73.210    184.360     96.540   -166.380     78.060
      1.121    216.410     60.110    188.290     66.270   -198.590     34.010
      1.129    219.900     45.090    188.990     31.220   -222.500    -14.520
      1.136    220.670     28.680    185.630    -12.080   -234.280    -77.900
